var,n_EMO,n_NEU,mean_EMO,mean_NEU,test,stat,p,effsize
PQ,10,10,6.025,6.125,t,-0.4823207226348828,0.6363215469609332,-0.21570038455368387
NASA_TLX,10,10,7.266666666666666,7.816666666666667,t,-0.829825869984718,0.4176472829414265,-0.3711094109547463
Total_Δ,10,10,6.358000000000002,4.114000000000002,t,0.47936127716217686,0.6376308456848028,0.21437688030314897
SUS,10,10,35.625,33.75,t,0.8581163303210331,0.4034374405619924,0.38376128944009874
SASSI_global,10,10,4.666666666666666,5.005555555555556,t,-2.3646884666903367,0.029646099802283308,-1.057520831425868
TCT,10,10,718.6,522.8,t,2.757485141302246,0.012989362563936674,1.233184844579487
Turns,10,10,20.3,16.3,U,78.0,0.036561488145278556,0.56
