var,n_EMO,n_NEU,mean_EMO,mean_NEU,test,stat,p,effsize
PQ,20,20,6.04375,6.18125,U,157.0,0.2478869409728932,-0.215
NASA_TLX,20,20,7.2666666666666675,7.775,t,-1.240446549196268,0.22241631855825866,-0.39226364111563156
SSQ_Total_Δ,20,20,5.610000000000001,3.179000000000001,t,0.7446348711607887,0.46107304034387553,0.2354742218054121
SUS,20,20,88.19444444444444,81.38888888888889,t,3.177252351827262,0.0030246276878738705,1.0047354132900794
TCT,20,20,693.1,503.4,t,4.30142200599515,0.00011445146821631645,1.360229071651512
Turns,20,20,20.3,16.3,U,312.0,0.002396697174157481,0.56
